dimension,tvd_teleporting,tvd_hybrid,tvd_parallel_tempering,tvd_vanilla,ess_teleporting,ess_hybrid,ess_parallel_tempering,ess_vanilla,rhat_teleporting,rhat_hybrid,rhat_parallel_tempering,rhat_vanilla
1,0.08,0.073,0.1739,0.0971,945.9,1132.1,28.7,9357.4,1.011,1.011,1.0,5.428
2,0.0862,0.075,0.1752,0.0959,796.9,589.3,20.5,19861.6,1.008,1.007,1.052,5.441
3,0.0968,0.0675,0.2213,0.1001,502.1,499.7,29.1,20000.0,1.019,1.017,1.0,5.398
4,0.0929,0.0609,0.1757,0.2522,397.1,380.5,9.5,20000.0,1.015,1.027,1.363,4.726
5,0.1026,0.0692,0.2096,0.2522,311.1,338.8,11.6,20000.0,1.018,1.015,1.208,4.738
6,0.0941,0.0655,0.1846,0.252,251.6,142.3,12.5,20000.0,1.03,1.055,1.016,4.746
7,0.1421,0.0775,0.2739,0.2522,164.7,232.8,15.2,20000.0,1.092,1.06,1.035,4.719
8,0.0974,0.0578,0.4249,0.5,137.5,200.6,15.4,20000.0,1.077,1.095,1.074,1.0
10,0.1474,0.0714,0.5004,0.2521,114.2,103.9,93.1,20000.0,1.109,1.112,1.011,4.735
12,0.1514,0.0618,0.5006,0.0971,82.2,97.6,59.2,20000.0,1.079,1.071,1.016,5.429
15,0.1453,0.068,0.2334,0.0963,68.7,87.2,8.0,20000.0,1.418,1.353,1.002,5.444
20,0.295,0.076,0.5173,0.2521,29.4,94.6,28.3,20000.0,1.861,1.606,1.039,4.735
