dimension,tvd_teleporting,tvd_hybrid,tvd_parallel_tempering,tvd_vanilla
1,0.1034,0.0675,0.1678,0.083
2,0.0931,0.0601,0.4006,0.087
3,0.0698,0.0572,0.3995,0.1033
4,0.0721,0.0546,0.4936,0.1541
5,0.0718,0.06,0.4928,0.245
6,0.1051,0.0772,0.4944,0.2455
7,0.1198,0.1089,0.2205,0.0897
8,0.1032,0.082,0.5061,0.2455
9,0.0984,0.0804,0.509,0.0867
10,0.1348,0.0929,0.5011,0.0863
11,0.1515,0.0991,0.5296,0.2455
12,0.1513,0.0994,0.5038,0.0878
13,0.178,0.118,0.5176,0.0873
14,0.1874,0.1194,0.4159,0.0882
15,0.1464,0.1261,0.5,0.2455
16,0.2029,0.1526,0.5106,0.2454
17,0.1585,0.1906,0.5,0.2458
18,0.1632,0.1652,0.5,0.2456
19,0.1818,0.1273,0.6082,0.0879
20,0.3314,0.121,0.5,0.0887
