dimension,tvd_teleporting,tvd_hybrid,tvd_parallel_tempering,tvd_vanilla
1,0.08,0.073,0.1739,0.0971
2,0.0862,0.075,0.1752,0.0959
3,0.0968,0.0675,0.2213,0.1001
4,0.0929,0.0609,0.1757,0.2522
5,0.1026,0.0692,0.2096,0.2522
6,0.0941,0.0655,0.1846,0.252
7,0.1421,0.0775,0.2739,0.2522
8,0.0974,0.0578,0.4249,0.5
9,0.1013,0.0745,0.2026,0.252
10,0.1273,0.0722,0.3274,0.2521
11,0.0994,0.0558,0.2069,0.2521
12,0.2091,0.068,0.2024,0.0971
13,0.1496,0.081,0.5018,0.0974
14,0.132,0.0585,0.3141,0.2521
15,0.2283,0.0858,0.501,0.0963
16,0.2911,0.0908,0.514,0.097
17,0.135,0.1098,0.5056,0.252
18,0.1729,0.0668,0.5136,0.2521
19,0.2689,0.0736,0.5093,0.2519
20,0.1966,0.0885,0.2876,0.2521
