dimension,tvd_teleporting,tvd_hybrid,tvd_parallel_tempering,tvd_vanilla
1,0.1055,0.0948,0.2536,0.1284
2,0.1083,0.0892,0.2528,0.1295
3,0.1165,0.0908,0.2905,0.4186
4,0.1149,0.0834,0.3634,0.6662
5,0.114,0.0925,0.2973,0.418
6,0.1028,0.074,0.2392,0.6662
7,0.1044,0.0801,0.2944,0.4179
8,0.1379,0.0775,0.3197,0.418
9,0.1268,0.0943,0.2645,0.4178
10,0.3363,0.3336,0.2868,0.6662
11,0.1256,0.0944,0.3684,0.6663
12,0.1851,0.0812,0.3595,0.4182
13,0.1704,0.0945,0.2679,0.6662
14,0.1805,0.0797,0.2558,0.6662
15,0.3816,0.3419,0.2625,0.6662
16,0.1616,0.0936,0.4759,0.6662
17,0.1799,0.1814,0.4685,0.6662
18,0.2473,0.0924,0.4385,0.6662
19,0.2674,0.0932,0.506,0.6662
20,0.204,0.0937,0.4276,0.6662
