dimension,tvd_teleporting,tvd_hybrid,tvd_parallel_tempering,tvd_vanilla
1,0.0754,0.1908,0.3623,0.2209
2,0.0805,0.0736,0.332,0.3134
3,0.089,0.0755,0.3581,0.3147
4,0.0726,0.061,0.3834,0.0969
5,0.1031,0.0781,0.3342,0.5506
6,0.0754,0.0672,0.3382,0.5505
7,0.0753,0.0812,0.469,0.5506
8,0.0895,0.0548,0.2338,0.8
9,0.0928,0.0785,0.1964,0.0939
10,0.097,0.0784,0.2857,0.5506
11,0.1127,0.0584,0.4634,0.5503
12,0.1319,0.098,0.1662,0.3147
13,0.8004,0.8005,0.2433,0.3141
14,0.1816,0.0533,0.8007,0.5505
15,0.3199,0.1229,0.4699,0.3139
16,0.1638,0.0707,0.4176,0.315
17,0.1623,0.1367,0.3489,0.0963
18,0.3679,0.1244,0.271,0.5505
19,0.1809,0.1523,0.801,0.0956
20,0.1695,0.0913,0.3161,0.5505
